comment_id,sentimento_modelo,sentimento_esperado
23254,Negative,Negative
23255,Negative,Negative
23256,Negative,Negative
23257,Positive,Negative
23258,Negative,Neutral
23259,Negative,Negative
23260,Negative,Negative
23261,Negative,Negative
23262,Negative,Negative
23263,Negative,Neutral
23264,Negative,Negative
23265,Neutral,Neutral
23266,Negative,Negative
23267,Positive,Neutral
23268,Positive,Negative
23269,Negative,Negative
23270,Positive,Negative
23271,Negative,Negative
23272,Negative,Negative
23273,Negative,Negative
23274,Positive,Neutral
23275,Negative,Negative
23276,Neutral,Neutral
23277,Negative,Neutral
23278,Negative,Negative
23279,Negative,Negative
23280,Negative,Negative
23281,Negative,Negative
23282,Negative,Negative
23283,Neutral,Neutral
23284,Negative,Negative
23285,Negative,Negative
23286,Negative,Negative
23287,Neutral,Neutral
23288,Negative,Neutral
23289,Negative,Negative
23290,Negative,Neutral
23291,Negative,Negative
23292,Negative,Negative
23293,Neutral,Positive
23294,Negative,Negative
23295,Positive,Negative
23296,Negative,Negative
23297,Negative,Negative
23298,Neutral,Neutral
23299,Neutral,Neutral
23300,Positive,Neutral
23301,Negative,Negative
23302,Negative,Negative
23303,Neutral,Positive
23304,Negative,Negative
23305,Negative,Negative
23306,Negative,Negative
23307,Neutral,Neutral
23308,Negative,Negative
23309,Positive,Negative
23310,Positive,Negative
23311,Negative,Negative
23312,Negative,Negative
23313,Positive,Positive
23314,Negative,Negative
23315,Negative,Negative
23316,Negative,Neutral
23317,Negative,Negative
23318,Positive,Negative
23319,Negative,Negative
23320,Negative,Negative
23321,Neutral,Neutral
23322,Positive,Positive
23323,Positive,Positive
23324,Neutral,Neutral
23325,Negative,Negative
23326,Positive,Positive
23327,Positive,Positive
23328,Negative,Neutral
23329,Neutral,Neutral
23330,Negative,Negative
23331,Neutral,Neutral
23332,Negative,Negative
23333,Neutral,Neutral
23334,Negative,Negative
23335,Negative,Negative
23336,Negative,Negative
23337,Negative,Negative
23338,Positive,Positive
23339,Negative,Neutral
23340,Negative,Negative
23341,Negative,Neutral
23342,Negative,Negative
23343,Negative,Negative
23344,Negative,Negative
23345,Negative,Negative
23346,Neutral,Neutral
23347,Negative,Negative
23348,Positive,Positive
23349,Negative,Negative
23350,Negative,Neutral
23351,Negative,Negative
23352,Negative,Negative
23353,Neutral,Neutral
23354,Negative,Negative
23355,Positive,Negative
23356,Positive,Negative
23357,Positive,Positive
23358,Negative,Neutral
23359,Negative,Negative
23360,Negative,Negative
23361,Negative,Negative
23362,Negative,Negative
23363,Negative,Negative
23364,Negative,Negative
23365,Negative,Negative
23366,Negative,Negative
23367,Negative,Neutral
23368,Negative,Negative
23369,Negative,Negative
23370,Positive,Positive
23371,Positive,Positive
23372,Negative,Negative
23373,Negative,Positive
23374,Negative,Negative
23375,Negative,Negative
23376,Negative,Negative
23377,Negative,Negative
23378,Negative,Negative
23379,Negative,Negative
23380,Negative,Negative
23381,Negative,Negative
23382,Negative,Negative
23383,Positive,Positive
23384,Negative,Negative
23385,Negative,Negative
23386,Positive,Negative
23387,Negative,Negative
23388,Negative,Negative
23389,Negative,Negative
23390,Negative,Neutral
23391,Negative,Negative
23392,Negative,Neutral
23393,Negative,Negative
23394,Negative,Negative
23395,Negative,Negative
23396,Neutral,Negative
23397,Negative,Negative
23398,Negative,Negative
23399,Negative,Negative
23400,Negative,Negative
23401,Positive,Positive
23402,Positive,Positive
23403,Neutral,Neutral
23404,Negative,Positive
23405,Positive,Negative
23406,Negative,Negative
23407,Negative,Negative
23408,Negative,Negative
23409,Positive,Neutral
23410,Negative,Positive
23411,Negative,Negative
23412,Negative,Negative
23413,Negative,Negative
23414,Negative,Positive
23415,Negative,Negative
23416,Negative,Negative
23417,Negative,Neutral
23418,Neutral,Neutral
23419,Negative,Neutral
23420,Positive,Positive
23421,Negative,Negative
23422,Negative,Neutral
23423,Neutral,Negative
23424,Positive,Positive
23425,Negative,Negative
23426,Negative,Negative
23427,Negative,Negative
23428,Negative,Negative
23429,Negative,Negative
23430,Negative,Negative
23431,Negative,Negative
23432,Negative,Negative
23433,Negative,Negative
23434,Negative,Neutral
23435,Negative,Negative
23436,Positive,Positive
23437,Negative,Neutral
23438,Negative,Negative
23439,Neutral,Positive
23440,Negative,Negative
23441,Neutral,Negative
23442,Negative,Negative
23443,Negative,Negative
23444,Neutral,Negative
23445,Negative,Neutral
23446,Positive,Negative
23447,Negative,Negative
23448,Negative,Neutral
23449,Negative,Negative
23450,Neutral,Negative
23451,Neutral,Negative
23452,Negative,Negative
23453,Negative,Negative
23454,Neutral,Negative
23455,Negative,Negative
23456,Negative,Negative
23457,Negative,Negative
23458,Neutral,Neutral
23459,Negative,Negative
23460,Negative,Negative
23461,Positive,Negative
23462,Negative,Negative
23463,Negative,Neutral
23464,Neutral,Negative
23465,Negative,Positive
23466,Negative,Negative
23467,Positive,Negative
23468,Negative,Negative
23469,Negative,Negative
23470,Positive,Neutral
23471,Negative,Positive
23472,Negative,Negative
23473,Positive,Positive
23474,Negative,Positive
23475,Positive,Negative
23476,Neutral,Positive
23477,Negative,Positive
23478,Positive,Neutral
23479,Positive,Negative
23480,Neutral,Negative
23481,Negative,Negative
23482,Negative,Negative
23483,Negative,Negative
23484,Positive,Positive
23485,Negative,Negative
23486,Negative,Negative
23487,Negative,Negative
23488,Negative,Neutral
23489,Neutral,Positive
23490,Negative,Neutral
23491,Positive,Neutral
23492,Negative,Neutral
23493,Positive,Positive
23494,Negative,Negative
23495,Neutral,Negative
23496,Negative,Negative
23497,Negative,Negative
23498,Negative,Negative
23499,Negative,Negative
23500,Positive,Negative
23501,Negative,Negative
23502,Negative,Negative
